sentiment,review_body,product_category
-1,Material is awful. not soft at all. colors are much darker than shows online. it is actually very short not at all as it looks on the model. it went back.,Blouses
-1,Loved the look of this shirt online. i tried it on and was sad to see that the frontal view is all wrong. the cool shoulder design is almost too exaggerated (almost looks as if i'm ready for take off!). unfortunately  none of the featured photos on the product page display the frontal view of the model. i really wish the shoulder design was slightly smaller in shape and size - i would have loved it! looks great from the side but sadly i can't walk around like that ;),Blouses
-1,This looks nothing like it does on the website. it runs small and the colors are so muddy. it doesn't drape nicely and i a musually an xs and this was short  stiff and plain ugly. sent it back immediately.,Blouses
-1,Purchased this in white specifically because i loved the back detail-- (i don't know why most designers overlook the back??). huge disappointment-- the back is totally plain  not at all like the picture of the white top on here and the fabric in the back isn't even the same material as the front. it's almost as if the back is made out of leftover lining from another garment. it was a very sad return! i usually love this brand  this was just a quality control oversight i guess.,Blouses
-1,Really cute piece  but it's huge. i ordered an xxs petite and it was unfortunately extremely wide and not flattering. returning.,Blouses
-1,"I was struggling with the options above-- does it fit true to size or is it too small or too large? it is both too small and too large  which is really strange. the model makes this shirt look stunning  but the product is actually very boxy. i am 5' 3""  weigh 112 lbs and i typically order anywhere from a 00p-0r/xxs-xs. i ordered this shirt in an xsp and the shirt sleeves were short and the middle was boxy. quite frankly  it looked like a maternity shirt and the structure was not worth the money",Blouses
-1,The top is nice  good quality  etc.... but how do you keep the 'off the shoulder' off the shoulder? mine keeps inching up until it's just a boring white top with a strange loose neckline.,Blouses
-1,"I was so excited to receive this top!!! the material and design is gorgeous but it is way way way too short!!! i'm 5'7"" with an hourglass shape/average build and it barely hit the top of my pants! it otherwise fit true to size. so disappointed!!!! and for the price  it really should be cut better.",Blouses
-1,I was drawn to this top because of the interesting and detailed straps  which are embroidered with a lovely triangle pattern. however the embroidery takes away any stretchy-ness or give in the cotton and makes the top a beautiful but ill-fitting harness for anyone with any breasts or full-figured lusciousness. the worst part is that the top hem along the top is embroidered and rigid just like the straps  so it feels like you are wearing an uncomfortable strapless top. i wanted to keep this but h,Blouses
0,This is a well made blouse with a pretty neckline. the print with the sleeves makes me look really wide. it's an odd look.,Blouses
0,I got this top planning to wear it with the sleeves up rather than off the shoulder  like in one of the photos. my regular size (medium) was way too large so i went down to a small. however  the collar was still too wide for the sleeves to stay above my bra straps. back it goes. if you're looking for a strictly off-the-shoulder top  you might like it. color is deep blue and the cotton is a nice weight.,Blouses
